"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"38","2007-02-01",16.08,16.440001,15.81,15.81,2.124195,0,2.144348,-0.00939819469601022
"39","2007-03-01",15.79,16.469999,15.36,16.379999,2.200779,0,2.124195,0.0360531872073893
"40","2007-04-01",16.51,17.110001,16.51,16.83,2.26124,0,2.200779,0.0274725449488569
"41","2007-05-01",16.92,17.440001,16.9,17.440001,2.343199,0,2.26124,0.0362451575241902
"42","2007-06-01",17.57,17.75,17.120001,17.450001,2.344542,0,2.343199,0.000573148076625341
"43","2007-07-01",17.700001,17.93,16.51,16.51,2.218246,0,2.344542,-0.0538680902282834
"44","2007-08-01",16.49,16.629999,15.83,16.48,2.214215,0,2.218246,-0.00181720151867748
"45","2007-09-01",16.620001,16.93,16.059999,16.76,2.251835,0,2.214215,0.0169902200102519
"46","2007-10-01",17.15,17.530001,16.65,17.049999,2.290798,0,2.251835,0.017302777512562
"47","2007-11-01",16.42,16.49,15.28,15.78,2.120164,0,2.290798,-0.0744867072522327
"48","2007-12-01",15.6,16.16,13.7,14.03,1.885038,0,2.120164,-0.110899911516279
"49","2008-01-01",13.82,13.82,12.45,13.27,1.988133,0,1.885038,0.0546912051640338
"50","2008-02-01",13.66,13.66,13.08,13.15,1.970154,0,1.988133,-0.00904315757547403
"51","2008-03-01",13.17,13.47,12.61,13.22,1.980642,0,1.970154,0.00532344172079946
"52","2008-04-01",13.6,13.74,13.12,13.63,2.042069,0,1.980642,0.0310136814224884
"53","2008-05-01",13.9,14.38,13.68,14.38,2.154435,0,2.042069,0.0550255647580957
"54","2008-06-01",14.24,14.43,12.88,12.88,1.929702,0,2.154435,-0.104311803326626
"55","2008-07-01",12.84,13.37,12.44,13.35,2.000119,0,1.929702,0.0364911266091863
"56","2008-08-01",13.4,14.08,13.23,13.77,2.063043,0,2.000119,0.0314601281223765
"57","2008-09-01",13.99,13.99,12.36,12.72,1.905731,0,2.063043,-0.0762524096686302
"58","2008-10-01",12.55,12.55,8.59,10.26,1.53717,0,1.905731,-0.193396129884018
"59","2008-11-01",10.26,10.45,7.74,9.29,1.391843,0,1.53717,-0.0945419179401107
"60","2008-12-01",8.5,10.15,8.5,10.15,1.520689,0,1.391843,0.0925722225854497
"61","2009-01-01",10.25,10.41,9.05,9.2,1.38415,0,1.520689,-0.0897875897044037
"62","2009-02-01",9.23,9.55,8.18,8.18,1.23069,0,1.38415,-0.110869486688581
"63","2009-03-01",7.72,9.14,7.15,8.72,1.311934,0,1.23069,0.0660149997156065
"64","2009-04-01",8.86,10,8.84,9.92,1.492475,0,1.311934,0.137614392187412
"65","2009-05-01",9.9,10.54,9.9,10.5,1.579737,0,1.492475,0.0584679810382083
