Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,86.360001,88.239998,85.000000,86.440002,58.178104,191308800
2013-12-01,86.529999,88.540001,84.739998,88.510002,59.571316,223098900
2014-01-01,87.980003,88.239998,83.029999,83.379997,56.380005,265078800
2014-02-01,83.300003,88.480003,81.779999,87.650002,59.267277,258023600
2014-03-01,87.120003,89.589996,85.970001,89.059998,60.220718,209073300
2014-04-01,89.089996,94.660004,88.220001,93.739998,63.696980,236318700
2014-05-01,93.610001,95.430000,92.930000,95.309998,64.763794,159239500
2014-06-01,95.400002,101.519997,94.919998,100.099998,68.018631,181265500
2014-07-01,100.349998,100.970001,96.559998,96.629997,65.965591,185253500
2014-08-01,96.360001,98.870003,94.489998,98.739998,67.406029,185743000
2014-09-01,98.599998,98.690002,90.059998,90.620003,61.862816,262542000
2014-10-01,90.610001,91.059998,77.510002,87.419998,59.985378,768998500
2014-11-01,87.480003,89.220001,79.580002,79.820000,54.770432,420955300
2014-12-01,79.389999,82.610001,72.510002,79.160004,54.317566,781838600
2015-01-01,78.730003,79.790001,71.699997,75.550003,52.162510,661937100
2015-02-01,76.480003,82.430000,75.959999,79.019997,54.558323,482396800
2015-03-01,78.860001,79.230003,73.820000,77.580002,53.564091,369338300
2015-04-01,77.830002,83.379997,77.019997,82.680000,57.473202,287119800
2015-05-01,82.760002,83.660004,77.980003,78.389999,54.491112,250016900
2015-06-01,78.589996,79.110001,74.580002,75.160004,52.245842,243092900
2015-07-01,75.309998,75.339996,68.209999,69.379997,48.548382,318690800
2015-08-01,68.639999,70.739998,58.740002,66.430000,46.484123,486283800
2015-09-01,64.519997,66.440002,59.389999,61.200001,42.824448,377168200
2015-10-01,61.980000,69.669998,60.509998,68.029999,47.954865,438010500
2015-11-01,67.620003,71.930000,65.199997,68.019997,47.947811,320363500
2015-12-01,68.080002,68.620003,58.209999,60.320000,42.520031,554894900
2016-01-01,60.160000,60.779999,49.930000,58.209999,41.404320,614673100
2016-02-01,57.240002,58.520000,52.369999,56.580002,40.244926,584068500
2016-03-01,56.980000,64.279999,56.400002,61.889999,44.021885,497520400
